Year,Power,Transmission,Substation,Distribution
2020,60,156,66,0
2019,40,86,58,0
2018,48,99,50,0
2017,45,77,48,0
2016,54,102,63,0
2015,65,106,36,0
2014,102,96,63,0
2013,105,94,67,0
2012,98,197,66,0
2011,44,66,91,0
2010,45,119,119,0
2009,51,134,108,0
2008,29,76,80,0
2007,41,137,103,0
